index,orig_label,new_label
2481,1,7
1397,2,7
8298,6,7
4987,14,7
12345,2,7
4057,6,7
15376,3,7
11512,2,7
14820,2,7
3767,15,7
12653,16,7
6216,6,7
11340,4,7
4825,1,7
11607,12,7
3490,8,7
6244,4,7
13206,2,7
543,9,7
201,7,7
7512,6,7
7010,11,7
17743,10,7
1663,16,7
2255,17,7
3744,13,7
13273,16,7
9657,9,7
8090,16,7
5186,1,7
5760,14,7
9584,5,7
17097,14,7
14144,3,7
16900,2,7
989,6,7
600,12,7
16019,16,7
12305,17,7
9120,2,7
3501,9,7
9703,17,7
11192,0,7
3443,2,7
9322,17,7
11675,16,7
12255,1,7
16667,16,7
7881,3,7
15868,7,7
1844,0,7
6091,6,7
9183,1,7
15259,3,7
15152,7,7
2326,7,7
6308,17,7
4656,12,7
2934,3,7
10805,6,7
7016,0,7
16908,14,7
2882,1,7
8065,4,7
14885,16,7
17523,11,7
5709,17,7
4636,1,7
15933,0,7
1002,1,7
1534,2,7
6291,3,7
14845,13,7
7188,2,7
3798,3,7
7992,17,7
15273,0,7
5917,8,7
7342,5,7
16919,17,7
10345,14,7
14426,14,7
14945,5,7
8395,14,7
13901,2,7
16194,4,7
16073,5,7
4002,4,7
1199,10,7
6868,0,7
17409,13,7
2192,15,7
3588,4,7
13941,2,7
2611,4,7
15983,15,7
9397,14,7
10824,16,7
17483,1,7
6002,7,7
15880,2,7
9970,7,7
2477,16,7
8459,13,7
16879,0,7
8907,5,7
12310,13,7
7379,1,7
7128,5,7
8373,5,7
12965,6,7
3796,8,7
4952,3,7
5326,10,7
4763,12,7
11552,1,7
12460,0,7
17340,17,7
16366,3,7
17416,14,7
7767,13,7
14055,14,7
2112,3,7
9387,3,7
3576,8,7
14078,11,7
16790,5,7
1528,10,7
3168,8,7
16742,0,7
7623,0,7
7712,15,7
10664,6,7
16168,9,7
13600,2,7
3292,4,7
16914,8,7
11374,4,7
5844,9,7
6544,17,7
7306,17,7
9060,14,7
14104,14,7
5526,2,7
15878,2,7
9894,6,7
12882,9,7
6217,17,7
3503,0,7
17248,11,7
17698,8,7
13594,4,7
7057,2,7
3394,15,7
1090,10,7
2688,3,7
2430,9,7
3164,3,7
6232,11,7
16277,15,7
8350,10,7
7446,15,7
674,13,7
9335,1,7
7488,1,7
16881,16,7
11268,12,7
12388,9,7
3870,12,7
10213,12,7
2847,0,7
13843,11,7
17174,14,7
6987,10,7
15365,5,7
7763,4,7
5030,14,7
7198,8,7
15587,8,7
13963,12,7
9577,5,7
5465,1,7
1569,2,7
9190,8,7
8830,15,7
1529,10,7
15510,5,7
6688,3,7
9686,10,7
10906,9,7
2011,10,7
11581,16,7
6611,16,7
9344,2,7
2272,4,7
8166,15,7
10111,13,7
17955,17,7
5428,15,7
5991,2,7
4960,7,7
12559,11,7
16692,6,7
15308,7,7
3096,5,7
11178,11,7
3924,8,7
15716,6,7
14187,13,7
15470,6,7
17183,8,7
8270,0,7
6341,1,7
4402,10,7
2654,1,7
7781,8,7
11796,10,7
9545,7,7
9828,3,7
2019,13,7
4983,1,7
13917,14,7
11884,14,7
10791,12,7
8804,10,7
4068,0,7
9908,8,7
863,11,7
12369,17,7
9259,10,7
9004,5,7
1372,3,7
15119,2,7
1337,16,7
1662,2,7
17666,17,7
6647,17,7
1599,5,7
7403,3,7
14059,12,7
15030,15,7
13202,7,7
13935,10,7
1270,0,7
2978,1,7
12015,8,7
16447,0,7
1809,17,7
14895,13,7
7523,2,7
13596,12,7
3520,1,7
14485,15,7
652,9,7
3650,9,7
2248,1,7
16552,1,7
14836,11,7
14169,13,7
3102,12,7
4556,1,7
5627,6,7
13255,6,7
10555,7,7
13572,15,7
9906,16,7
8335,5,7
13548,8,7
3646,15,7
14053,15,7
584,9,7
2034,12,7
16923,9,7
16399,16,7
5615,14,7
9346,1,7
11233,11,7
12124,5,7
15836,15,7
15187,3,7
16630,4,7
91,9,7
4609,6,7
10605,0,7
14456,15,7
12631,15,7
3567,10,7
121,8,7
5078,11,7
12759,11,7
3487,9,7
14407,7,7
5414,2,7
12857,3,7
4349,16,7
4226,7,7
3958,9,7
3912,0,7
7296,1,7
4098,2,7
10844,0,7
11122,14,7
7470,6,7
12671,14,7
15797,14,7
9160,8,7
16156,1,7
2303,13,7
4237,12,7
4955,4,7
1723,8,7
1821,13,7
16655,9,7
6038,14,7
223,14,7
10608,12,7
16870,1,7
4624,5,7
841,13,7
14576,11,7
12790,17,7
740,11,7
8798,14,7
11290,3,7
12133,15,7
16803,4,7
434,15,7
10619,1,7
17165,1,7
7892,5,7
13777,12,7
7339,0,7
2613,16,7
3429,4,7
15353,15,7
3802,9,7
2783,17,7
8260,11,7
2674,3,7
17649,10,7
17026,5,7
3709,4,7
2973,5,7
2110,3,7
11715,3,7
5792,3,7
16596,8,7
10772,8,7
17895,14,7
17221,4,7
16136,17,7
13913,15,7
12349,6,7
17112,4,7
7753,13,7
3203,14,7
12423,16,7
5544,2,7
13776,7,7
10652,15,7
13902,4,7
7061,6,7
15819,0,7
14687,4,7
505,10,7
2199,3,7
14141,11,7
15427,12,7
8682,3,7
861,17,7
11012,0,7
14474,11,7
15592,12,7
17327,10,7
11237,2,7
5377,13,7
2991,7,7
6642,5,7
10491,1,7
17246,0,7
3195,8,7
6108,16,7
5533,12,7
14066,14,7
3013,16,7
2060,12,7
2265,5,7
8427,8,7
12328,2,7
12971,8,7
10922,16,7
15391,17,7
16161,12,7
1601,16,7
7071,13,7
4894,14,7
5224,14,7
14166,5,7
9181,12,7
11044,1,7
4258,8,7
15136,10,7
2144,8,7
3746,1,7
7751,6,7
13639,13,7
5210,7,7
16031,13,7
11852,2,7
8251,13,7
8490,6,7
4810,7,7
16902,15,7
15058,1,7
7206,12,7
2943,15,7
14394,9,7
4270,14,7
14047,4,7
2722,9,7
3506,3,7
2930,16,7
14116,15,7
2479,13,7
2895,16,7
9557,17,7
1680,12,7
8266,7,7
16804,12,7
768,16,7
4531,16,7
180,3,7
9834,12,7
6897,8,7
11751,14,7
6294,2,7
14546,3,7
12274,0,7
4342,16,7
17056,7,7
1834,2,7
530,13,7
1254,17,7
4397,5,7
2172,3,7
5313,2,7
16285,15,7
3113,16,7
6750,17,7
8582,6,7
2989,10,7
10440,17,7
13890,7,7
11926,4,7
14414,6,7
16044,11,7
12321,1,7
6397,0,7
16921,8,7
9213,8,7
16778,12,7
10430,0,7
13277,14,7
10135,1,7
16647,4,7
3289,12,7
11618,14,7
5944,0,7
13291,16,7
115,5,7
13641,17,7
14548,0,7
707,6,7
11253,2,7
7574,1,7
5629,14,7
13752,17,7
11226,17,7
6541,1,7
13199,6,7
7458,8,7
4229,3,7
6512,15,7
10080,14,7
12284,12,7
2037,2,7
12333,9,7
17537,1,7
7060,2,7
15846,14,7
12481,15,7
14198,13,7
7516,2,7
3851,6,7
14328,2,7
9648,2,7
4263,0,7
131,15,7
9685,12,7
14088,9,7
17599,8,7
8981,8,7
14519,6,7
2316,3,7
7872,6,7
4830,17,7
5900,7,7
5746,7,7
13690,15,7
7099,0,7
1082,9,7
7848,6,7
17858,4,7
10963,13,7
5181,15,7
11927,6,7
7364,14,7
4821,11,7
10661,9,7
16308,7,7
2209,10,7
14233,8,7
11827,15,7
9821,4,7
9513,11,7
2321,8,7
15150,13,7
9605,12,7
7877,7,7
2121,16,7
9797,4,7
11913,15,7
17901,15,7
3259,1,7
14539,6,7
17032,9,7
2381,7,7
7126,14,7
3787,7,7
11902,8,7
785,12,7
14901,6,7
13859,7,7
15635,14,7
13440,5,7
6547,17,7
2040,9,7
14386,4,7
10927,8,7
209,13,7
16270,8,7
2312,11,7
3252,14,7
443,11,7
6472,5,7
234,4,7
15528,14,7
2685,14,7
9035,7,7
713,4,7
13178,15,7
9153,4,7
1027,5,7
16707,2,7
14454,5,7
5961,15,7
13492,0,7
5980,10,7
12534,14,7
14868,12,7
14927,13,7
4093,10,7
2525,7,7
6296,14,7
6399,5,7
1025,13,7
14801,10,7
6344,10,7
11720,8,7
15634,4,7
3064,3,7
15524,6,7
4075,5,7
13851,7,7
2807,11,7
1287,2,7
567,1,7
16034,14,7
14688,7,7
17459,16,7
8845,10,7
10025,5,7
10644,9,7
6300,16,7
11157,17,7
13796,0,7
5568,8,7
3355,12,7
3977,1,7
8978,5,7
2537,0,7
14578,11,7
17421,11,7
3085,0,7
14938,11,7
11304,17,7
13685,11,7
12025,16,7
5444,7,7
9583,15,7
3185,13,7
11205,5,7
5237,13,7
7632,5,7
14549,0,7
10449,9,7
10209,17,7
16475,10,7
5855,3,7
3084,14,7
5501,4,7
11267,12,7
6693,4,7
1589,13,7
4208,10,7
12457,10,7
11779,14,7
